Date,Open,High,Low,Close,Adj Close,Volume
02/01/2004,111.7399979,112.1900024,110.7300034,111.2300034,75.86579132,38072300
05/01/2004,111.6900024,112.5199966,111.5899963,112.4400024,76.69104767,27959800
06/01/2004,112.1600037,112.7300034,112,112.5500031,76.76609802,20472800
07/01/2004,112.3899994,113.0599976,111.8899994,112.9300003,77.02532196,30170400
08/01/2004,113.25,113.4100037,112.7699966,113.3799973,77.33221436,36438400
09/01/2004,112.8300018,113.5,112.2699966,112.3899994,76.65694427,54084300
12/01/2004,112.5500031,113.25,112.3600006,113.2200012,77.22305298,31564100
13/01/2004,113.0899963,113.2300034,111.7600021,112.5599976,76.77293396,54239700
14/01/2004,112.7600021,113.6600037,112.6699982,113.5,77.41403961,30112800
15/01/2004,113.5699997,114.0599976,112.5800018,113.7799988,77.60504913,38408700
16/01/2004,114.0400009,114.3099976,113.6299973,114.2300034,77.91197968,31922700
20/01/2004,114.5299988,114.6500015,113.8199997,114.1999969,77.89150238,29863000
21/01/2004,114.1299973,115.3000031,113.7200012,115.0999985,78.50534821,30725000
22/01/2004,115.1399994,115.3799973,114.5800018,114.8000031,78.3007431,29888500
23/01/2004,115,115.3700027,113.9499969,114.4300003,78.04833984,44245300
26/01/2004,114.3899994,115.9300003,114.3799973,115.8700027,79.03057098,30460600
27/01/2004,115.75,116.5,114.6500015,114.6800003,78.2188797,35322800
28/01/2004,114.9800034,115.2799988,112.9400024,113.3700027,77.32537842,52621300
29/01/2004,113.5599976,113.8499985,112.5599976,113.4800034,77.40039825,60117100
30/01/2004,113.5199966,113.7200012,113.0899963,113.4800034,77.40039825,30984400
02/02/2004,113.6999969,114.6800003,113.1200027,113.9700012,77.73462677,38832400
03/02/2004,113.7399979,114.1399994,113.4400024,113.7799988,77.60504913,25093500
04/02/2004,113.1900024,113.7300034,112.7900009,112.8499985,76.9706955,39332600
05/02/2004,113.1699982,113.5400009,112.7799988,113.1800003,77.19577026,37226800
06/02/2004,113.4199982,114.6999969,113.1999969,114.4499969,78.06200409,37216000
09/02/2004,114.6699982,114.8700027,114.2900009,114.4800034,78.08250427,24851300
10/02/2004,114.2799988,115.1399994,114.2600021,114.8499985,78.33486176,27908100
11/02/2004,114.8499985,116.3899994,114.1699982,116.0699997,79.16694641,42965700
12/02/2004,115.9700012,116.2699966,115.5800018,115.6500015,78.88050079,27814700
13/02/2004,115.8199997,116.1999969,114.75,115.1299973,78.52581787,44739900
17/02/2004,115.8499985,116.4300003,115.7699966,116.1699982,79.23514557,23984300
18/02/2004,116.1999969,116.5999985,115.3499985,115.6600037,78.88729858,28618000
19/02/2004,116.3300018,116.3899994,115.0599976,115.2300034,78.59401703,51146200
20/02/2004,115.4800034,115.5599976,114.3199997,114.8799973,78.35530853,46728800
23/02/2004,115.2200012,115.2600021,114.1699982,114.5899963,78.15747833,36357000
24/02/2004,114.2699966,114.9899979,113.0299988,114.3899994,78.02107239,43953000
25/02/2004,114.4599991,115.0599976,114.3199997,114.8700027,78.34850311,31213600
26/02/2004,114.6100006,115.2900009,114.3399963,114.9400024,78.3962326,29683000
27/02/2004,115.1900024,115.7399979,114.6299973,115.0199966,78.45079803,39312000
01/03/2004,115.4300003,116.3399963,115.25,116.1600037,79.22829437,33130800
02/03/2004,115.9400024,116.9700012,115.2300034,115.4800034,78.76455688,38556400
03/03/2004,115.25,115.8700027,114.9199982,115.6900024,78.90776825,31346200
04/03/2004,115.7200012,116.0999985,115.5199966,115.9899979,79.11238861,21060000
05/03/2004,115.4199982,116.9499969,115.2799988,116.3799973,79.37840271,55905600
08/03/2004,116.3399963,116.6200027,114.9100037,114.9599991,78.40984344,39281600
09/03/2004,115.0999985,115.2099991,114.2399979,114.5,78.09612274,39746100
10/03/2004,114.7200012,114.7699966,112.5599976,112.5800018,76.78655243,67671800
11/03/2004,112.4000015,113.2699966,111.0999985,111.1200027,75.79078674,89134800
12/03/2004,111.7300034,112.7099991,111.5800018,112.5800018,76.78655243,54012200
15/03/2004,112.2699966,112.3499985,110.9000015,111.1999969,75.84531403,57677200
16/03/2004,111.7799988,112.0599976,110.8399963,111.7900009,76.24773407,59832600
17/03/2004,112.1800003,113.2600021,112.0999985,113.0400009,77.10031128,41607300
